sequence,entry_id,source_anchor,source_anchor_kind,authority_source_file,authority_line,prompt_carrier,authority_locator,parent_group_anchor,support_status
1,o003-c90-ch16-guide-01,o003-gvsu-ch16-sec_quotient_top-task-01,synthetic_locale_neutral_alias,source/sec_quotient_top.ptx,21,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_quotient_top.ptx"",""authority_line"":21,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_quotient_top"",""xpath"":""/section/exploration/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""bfb7c272c5b8b8475cf47eb74a4c6cf3a05243110cef655a3cb3737ae7598e9f""}",,pending
2,o003-c90-ch16-guide-02,o003-gvsu-ch16-sec_quotient_top-task-02,synthetic_locale_neutral_alias,source/sec_quotient_top.ptx,35,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_quotient_top.ptx"",""authority_line"":35,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_quotient_top"",""xpath"":""/section/exploration/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""88e8a7402eedef8d4f42f723d0d3359f8c4f5ef2de6afb2b4c3ca9d7a01f0c69""}",,pending
3,o003-c90-ch16-guide-03,o003-gvsu-ch16-sec_quotient_top-task-03,synthetic_locale_neutral_alias,source/sec_quotient_top.ptx,42,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_quotient_top.ptx"",""authority_line"":42,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_quotient_top"",""xpath"":""/section/exploration/task[3]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""7a238350b38ac8f70d248cdd4847d6c4e45faa5b70b389bc6da9e3e7f226d328""}",,pending
4,o003-c90-ch16-guide-04,o003-gvsu-ch16-sec_quotient_top-task-04,synthetic_locale_neutral_alias,source/sec_quotient_top.ptx,49,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_quotient_top.ptx"",""authority_line"":49,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_quotient_top"",""xpath"":""/section/exploration/task[4]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""dd1c09d8ce4fe486127dc7f2401e6bd098fea54c7aec42aaf7075d1458ae302d""}",,pending
5,o003-c90-ch16-guide-05,o003-gvsu-ch16-act_quot_topology-task-01,synthetic_locale_neutral_alias,source/sec_quotient_space.ptx,25,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_quotient_space.ptx"",""authority_line"":25,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""act_quot_topology"",""xpath"":""/section/activity[1]/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""8b6b685d87e49c236199cf2f72e7ce52afad8d7bb6579af5fa8e962b560864c3""}",,pending
6,o003-c90-ch16-guide-06,o003-gvsu-ch16-act_quot_topology-task-02,synthetic_locale_neutral_alias,source/sec_quotient_space.ptx,38,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_quotient_space.ptx"",""authority_line"":38,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""act_quot_topology"",""xpath"":""/section/activity[1]/task[2]/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""d118b511c062e93c419f9fe01cd69f88f216951fe11ba6d2c9a74a0e93a233bb""}",o003-gvsu-ch16-act_quot_topology-group-01,pending
7,o003-c90-ch16-guide-07,o003-gvsu-ch16-act_quot_topology-task-03,synthetic_locale_neutral_alias,source/sec_quotient_space.ptx,45,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_quotient_space.ptx"",""authority_line"":45,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""act_quot_topology"",""xpath"":""/section/activity[1]/task[2]/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""1a147c1cc62258b4d8b3077ee799627a9cdbbe188c4cf73b1083d407a677d686""}",o003-gvsu-ch16-act_quot_topology-group-01,pending
8,o003-c90-ch16-guide-08,o003-gvsu-ch16-act_quot_topology-task-04,synthetic_locale_neutral_alias,source/sec_quotient_space.ptx,54,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_quotient_space.ptx"",""authority_line"":54,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""act_quot_topology"",""xpath"":""/section/activity[1]/task[3]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""b4240a9fcafbcef7f4e3ba8c48fb7d3be008e8bf71f0075b9c286dfeb535518a""}",,pending
9,o003-c90-ch16-guide-09,o003-gvsu-ch16-sec_quotient_space-task-01,synthetic_locale_neutral_alias,source/sec_quotient_space.ptx,107,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_quotient_space.ptx"",""authority_line"":107,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_quotient_space"",""xpath"":""/section/activity[2]/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""1250488135998e141deed4ab683d7364af840fa16cc8631b2fc5faa8ce2adafc""}",,pending
10,o003-c90-ch16-guide-10,o003-gvsu-ch16-sec_quotient_space-task-02,synthetic_locale_neutral_alias,source/sec_quotient_space.ptx,119,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_quotient_space.ptx"",""authority_line"":119,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_quotient_space"",""xpath"":""/section/activity[2]/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""38ad3cb81c794047730e39350eaaf49973df465e472dd8e80f5197585d8ee97e""}",,pending
11,o003-c90-ch16-guide-11,o003-gvsu-ch16-act_quotient_er-body-01,synthetic_locale_neutral_alias,source/sec_quotient_space.ptx,154,direct_body,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_quotient_space.ptx"",""authority_line"":154,""element_tag"":""activity"",""nearest_ancestor_or_self_xml_id"":""act_quotient_er"",""xpath"":""/section/activity[3]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""67ff71c8417c752245695329f1723ccae32230dd617c1233e50e445fad6b500e""}",,pending
