sequence,entry_id,source_anchor,source_anchor_kind,authority_source_file,authority_line,prompt_carrier,authority_locator,parent_group_anchor,support_status
1,o003-c90-ch20-guide-01,o003-gvsu-ch20-PA_pd_top_1-task-01,synthetic_locale_neutral_alias,source/sec_prod_top.ptx,26,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_prod_top.ptx"",""authority_line"":26,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""PA_pd_top_1"",""xpath"":""/section/exploration/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""2b2a764c2ab1527f42c1993fc03a643f671a02edc9db053ea214668cf10ad3fc""}",,covered
2,o003-c90-ch20-guide-02,o003-gvsu-ch20-PA_pd_top_1-task-02,synthetic_locale_neutral_alias,source/sec_prod_top.ptx,37,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_prod_top.ptx"",""authority_line"":37,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""PA_pd_top_1"",""xpath"":""/section/exploration/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""8efa4d85d28ddf46fce2432f8f3f7d27499117b06951128b970a175d3d6aaaf4""}",,covered
3,o003-c90-ch20-guide-03,o003-gvsu-ch20-PA_pd_top_1-task-03,synthetic_locale_neutral_alias,source/sec_prod_top.ptx,49,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_prod_top.ptx"",""authority_line"":49,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""PA_pd_top_1"",""xpath"":""/section/exploration/task[3]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""f6dd82ec7352d2f7bc029ebf96d9370c6edf4c4a7f0ab4781ae8e8077ecb93ec""}",,covered
4,o003-c90-ch20-guide-04,o003-gvsu-ch20-act_box_topology-body-01,synthetic_locale_neutral_alias,source/sec_top_prod_space.ptx,14,direct_body,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_top_prod_space.ptx"",""authority_line"":14,""element_tag"":""activity"",""nearest_ancestor_or_self_xml_id"":""act_box_topology"",""xpath"":""/section/activity"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""fbd38366f75227592f92190a1964826e9980c87ef8c19de7f5d0fd57eca396c7""}",,covered
5,o003-c90-ch20-guide-05,o003-gvsu-ch20-sec_prod_top_exam-task-01,synthetic_locale_neutral_alias,source/sec_prod_top_exam.ptx,13,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_prod_top_exam.ptx"",""authority_line"":13,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_prod_top_exam"",""xpath"":""/section/activity[1]/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""7d9cb004b58aa2941161524f25369b164fde751a0ad4fb420b3a20b86cacde88""}",,covered
6,o003-c90-ch20-guide-06,o003-gvsu-ch20-sec_prod_top_exam-task-02,synthetic_locale_neutral_alias,source/sec_prod_top_exam.ptx,20,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_prod_top_exam.ptx"",""authority_line"":20,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_prod_top_exam"",""xpath"":""/section/activity[1]/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""15aa4df2f629bf8e824846d9269776670cc9d684dfac3be6525fefbb0c383ede""}",,covered
7,o003-c90-ch20-guide-07,o003-gvsu-ch20-sec_prod_top_exam-task-03,synthetic_locale_neutral_alias,source/sec_prod_top_exam.ptx,39,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_prod_top_exam.ptx"",""authority_line"":39,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_prod_top_exam"",""xpath"":""/section/activity[2]/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""09e7e8167cb6a8368a75f18e4a284780f4faa586e80743cd770c16e762d683a6""}",,covered
8,o003-c90-ch20-guide-08,o003-gvsu-ch20-sec_prod_top_exam-task-04,synthetic_locale_neutral_alias,source/sec_prod_top_exam.ptx,53,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_prod_top_exam.ptx"",""authority_line"":53,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_prod_top_exam"",""xpath"":""/section/activity[2]/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""76ea567567cd81aa4a5f89fe15fd5ba7b9e4f992ab27d999e5b99425e5a063fb""}",,covered
9,o003-c90-ch20-guide-09,o003-gvsu-ch20-sec_prod_top_exam-task-05,synthetic_locale_neutral_alias,source/sec_prod_top_exam.ptx,63,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_prod_top_exam.ptx"",""authority_line"":63,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_prod_top_exam"",""xpath"":""/section/activity[2]/task[3]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""0fbe0b4b79ac6b27d4e7cbcdf06e0e67184d5b4b652f368c83e1872e20208c19""}",,covered
10,o003-c90-ch20-guide-10,o003-gvsu-ch20-sec_prod_top_exam-task-06,synthetic_locale_neutral_alias,source/sec_prod_top_exam.ptx,82,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_prod_top_exam.ptx"",""authority_line"":82,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_prod_top_exam"",""xpath"":""/section/activity[3]/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""0daea0e66c318ea0743bbd2c1ef2ab62e097dcac1cc01c949c8632f5947f1ffc""}",,covered
