companion_entry_id,entry_kind,sequence,source_anchor_id,anchor_origin,authority_file,authority_line,authority_selector,relationship
o003-c90-ch05-intro-task-01,source_prompt_guide,1,o003-gvsu-ch05-sec_glb_intro-prompt-01,assigned_locale_neutral,source/sec_glb_intro.ptx,116,/section/exploration/task[1],provides_staged_support_for_source_prompt
o003-c90-ch05-intro-task-02,source_prompt_guide,2,o003-gvsu-ch05-sec_glb_intro-prompt-02,assigned_locale_neutral,source/sec_glb_intro.ptx,134,/section/exploration/task[2]/task[1],provides_staged_support_for_source_prompt
o003-c90-ch05-intro-task-03,source_prompt_guide,3,o003-gvsu-ch05-sec_glb_intro-prompt-03,assigned_locale_neutral,source/sec_glb_intro.ptx,141,/section/exploration/task[2]/task[2],provides_staged_support_for_source_prompt
o003-c90-ch05-intro-task-04,source_prompt_guide,4,o003-gvsu-ch05-sec_glb_intro-prompt-04,assigned_locale_neutral,source/sec_glb_intro.ptx,148,/section/exploration/task[2]/task[3],provides_staged_support_for_source_prompt
o003-c90-ch05-intro-task-05,source_prompt_guide,5,o003-gvsu-ch05-sec_glb_intro-prompt-05,assigned_locale_neutral,source/sec_glb_intro.ptx,156,/section/exploration/task[3],provides_staged_support_for_source_prompt
o003-c90-ch05-pointset-task-01,source_prompt_guide,6,o003-gvsu-ch05-sec_dist_point_set-prompt-01,assigned_locale_neutral,source/sec_dist_point_set.ptx,23,/section/activity[1]/task[1],provides_staged_support_for_source_prompt
o003-c90-ch05-pointset-task-02,source_prompt_guide,7,o003-gvsu-ch05-sec_dist_point_set-prompt-02,assigned_locale_neutral,source/sec_dist_point_set.ptx,30,/section/activity[1]/task[2],provides_staged_support_for_source_prompt
o003-c90-ch05-pointset-task-03,source_prompt_guide,8,o003-gvsu-ch05-sec_dist_point_set-prompt-03,assigned_locale_neutral,source/sec_dist_point_set.ptx,38,/section/activity[1]/task[3],provides_staged_support_for_source_prompt
o003-c90-ch05-pointset-task-04,source_prompt_guide,9,o003-gvsu-ch05-sec_dist_point_set-prompt-04,assigned_locale_neutral,source/sec_dist_point_set.ptx,45,/section/activity[1]/task[4],provides_staged_support_for_source_prompt
o003-c90-ch05-pointset-task-05,source_prompt_guide,10,o003-gvsu-ch05-sec_dist_point_set-prompt-05,assigned_locale_neutral,source/sec_dist_point_set.ptx,97,/section/activity[2]/task[1],provides_staged_support_for_source_prompt
o003-c90-ch05-pointset-task-06,source_prompt_guide,11,o003-gvsu-ch05-sec_dist_point_set-prompt-06,assigned_locale_neutral,source/sec_dist_point_set.ptx,104,/section/activity[2]/task[2],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-01,source_prompt_guide,12,o003-gvsu-ch05-sec_glb_exer-prompt-01,assigned_locale_neutral,source/sec_glb_exer.ptx,11,/exercises/exercise[1]/task[1],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-02,source_prompt_guide,13,o003-gvsu-ch05-sec_glb_exer-prompt-02,assigned_locale_neutral,source/sec_glb_exer.ptx,19,/exercises/exercise[1]/task[2],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-03,source_prompt_guide,14,o003-gvsu-ch05-sec_glb_exer-prompt-03,assigned_locale_neutral,source/sec_glb_exer.ptx,36,/exercises/exercise[2]/task[1],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-04,source_prompt_guide,15,o003-gvsu-ch05-sec_glb_exer-prompt-04,assigned_locale_neutral,source/sec_glb_exer.ptx,46,/exercises/exercise[2]/task[2],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-05,source_prompt_guide,16,o003-gvsu-ch05-sec_glb_exer-prompt-05,assigned_locale_neutral,source/sec_glb_exer.ptx,71,/exercises/exercise[3]/task[1]/task[1],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-06,source_prompt_guide,17,o003-gvsu-ch05-sec_glb_exer-prompt-06,assigned_locale_neutral,source/sec_glb_exer.ptx,79,/exercises/exercise[3]/task[1]/task[2],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-07,source_prompt_guide,18,o003-gvsu-ch05-sec_glb_exer-prompt-07,assigned_locale_neutral,source/sec_glb_exer.ptx,88,/exercises/exercise[3]/task[1]/task[3],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-08,source_prompt_guide,19,o003-gvsu-ch05-sec_glb_exer-prompt-08,assigned_locale_neutral,source/sec_glb_exer.ptx,100,/exercises/exercise[3]/task[2],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-09,source_prompt_guide,20,o003-gvsu-ch05-sec_glb_exer-prompt-09,assigned_locale_neutral,source/sec_glb_exer.ptx,107,/exercises/exercise[3]/task[3],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-10,source_prompt_guide,21,o003-gvsu-ch05-sec_glb_exer-prompt-10,assigned_locale_neutral,source/sec_glb_exer.ptx,114,/exercises/exercise[3]/task[4],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-11,source_prompt_guide,22,o003-gvsu-ch05-sec_glb_exer-prompt-11,assigned_locale_neutral,source/sec_glb_exer.ptx,134,/exercises/exercise[4]/task[1],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-12,source_prompt_guide,23,o003-gvsu-ch05-sec_glb_exer-prompt-12,assigned_locale_neutral,source/sec_glb_exer.ptx,141,/exercises/exercise[4]/task[2],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-13,source_prompt_guide,24,o003-gvsu-ch05-sec_glb_exer-prompt-13,assigned_locale_neutral,source/sec_glb_exer.ptx,172,/exercises/exercise[5]/task[1],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-14,source_prompt_guide,25,o003-gvsu-ch05-sec_glb_exer-prompt-14,assigned_locale_neutral,source/sec_glb_exer.ptx,180,/exercises/exercise[5]/task[2],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-15,source_prompt_guide,26,o003-gvsu-ch05-sec_glb_exer-prompt-15,assigned_locale_neutral,source/sec_glb_exer.ptx,188,/exercises/exercise[5]/task[3],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-16,source_prompt_guide,27,o003-gvsu-ch05-sec_glb_exer-prompt-16,assigned_locale_neutral,source/sec_glb_exer.ptx,220,/exercises/exercise[6]/task[1]/task[1],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-17,source_prompt_guide,28,o003-gvsu-ch05-sec_glb_exer-prompt-17,assigned_locale_neutral,source/sec_glb_exer.ptx,228,/exercises/exercise[6]/task[1]/task[2],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-18,source_prompt_guide,29,o003-gvsu-ch05-sec_glb_exer-prompt-18,assigned_locale_neutral,source/sec_glb_exer.ptx,240,/exercises/exercise[6]/task[2],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-19,source_prompt_guide,30,o003-gvsu-ch05-sec_glb_exer-prompt-19,assigned_locale_neutral,source/sec_glb_exer.ptx,282,/exercises/exercise[7]/task[1],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-20,source_prompt_guide,31,o003-gvsu-ch05-sec_glb_exer-prompt-20,assigned_locale_neutral,source/sec_glb_exer.ptx,289,/exercises/exercise[7]/task[2],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-21,source_prompt_guide,32,o003-gvsu-ch05-sec_glb_exer-prompt-21,assigned_locale_neutral,source/sec_glb_exer.ptx,305,/exercises/exercise[7]/task[3],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-22,source_prompt_guide,33,o003-gvsu-ch05-sec_glb_exer-prompt-22,assigned_locale_neutral,source/sec_glb_exer.ptx,318,/exercises/exercise[8],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-23,source_prompt_guide,34,o003-gvsu-ch05-sec_glb_exer-prompt-23,assigned_locale_neutral,source/sec_glb_exer.ptx,337,/exercises/exercise[9]/task[1],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-24,source_prompt_guide,35,o003-gvsu-ch05-sec_glb_exer-prompt-24,assigned_locale_neutral,source/sec_glb_exer.ptx,354,/exercises/exercise[9]/task[2]/task[1],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-25,source_prompt_guide,36,o003-gvsu-ch05-sec_glb_exer-prompt-25,assigned_locale_neutral,source/sec_glb_exer.ptx,366,/exercises/exercise[9]/task[2]/task[2],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-26,source_prompt_guide,37,o003-gvsu-ch05-sec_glb_exer-prompt-26,assigned_locale_neutral,source/sec_glb_exer.ptx,380,/exercises/exercise[9]/task[3],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-27,source_prompt_guide,38,o003-gvsu-ch05-sec_glb_exer-prompt-27,assigned_locale_neutral,source/sec_glb_exer.ptx,414,/exercises/exercise[10]/task[1]/task[1],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-28,source_prompt_guide,39,o003-gvsu-ch05-sec_glb_exer-prompt-28,assigned_locale_neutral,source/sec_glb_exer.ptx,422,/exercises/exercise[10]/task[1]/task[2],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-29,source_prompt_guide,40,o003-gvsu-ch05-sec_glb_exer-prompt-29,assigned_locale_neutral,source/sec_glb_exer.ptx,433,/exercises/exercise[10]/task[2],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-30,source_prompt_guide,41,o003-gvsu-ch05-sec_glb_exer-prompt-30,assigned_locale_neutral,source/sec_glb_exer.ptx,450,/exercises/exercise[11],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-31,source_prompt_guide,42,o003-gvsu-ch05-sec_glb_exer-prompt-31,assigned_locale_neutral,source/sec_glb_exer.ptx,459,/exercises/exercise[12],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-32,source_prompt_guide,43,o003-gvsu-ch05-sec_glb_exer-prompt-32,assigned_locale_neutral,source/sec_glb_exer.ptx,481,/exercises/exercise[13]/task[1],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-33,source_prompt_guide,44,o003-gvsu-ch05-sec_glb_exer-prompt-33,assigned_locale_neutral,source/sec_glb_exer.ptx,488,/exercises/exercise[13]/task[2],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-34,source_prompt_guide,45,o003-gvsu-ch05-sec_glb_exer-prompt-34,assigned_locale_neutral,source/sec_glb_exer.ptx,496,/exercises/exercise[13]/task[3],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-35,source_prompt_guide,46,o003-gvsu-ch05-sec_glb_exer-prompt-35,assigned_locale_neutral,source/sec_glb_exer.ptx,504,/exercises/exercise[13]/task[4],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-36,source_prompt_guide,47,o003-gvsu-ch05-sec_glb_exer-prompt-36,assigned_locale_neutral,source/sec_glb_exer.ptx,512,/exercises/exercise[13]/task[5],provides_staged_support_for_source_prompt
o003-c90-ch05-exercise-task-37,source_prompt_guide,48,o003-gvsu-ch05-sec_glb_exer-prompt-37,assigned_locale_neutral,source/sec_glb_exer.ptx,520,/exercises/exercise[13]/task[6],provides_staged_support_for_source_prompt
o003-c90-ch05-mastery-01,mastery_check,49,o003-c90-ch05-original-mastery-01,original,,,,original_transfer_and_mastery_check
o003-c90-ch05-mastery-02,mastery_check,50,o003-c90-ch05-original-mastery-02,original,,,,original_transfer_and_mastery_check
o003-c90-ch05-mastery-03,mastery_check,51,o003-c90-ch05-original-mastery-03,original,,,,original_transfer_and_mastery_check
o003-c90-ch05-mastery-04,mastery_check,52,o003-c90-ch05-original-mastery-04,original,,,,original_transfer_and_mastery_check
o003-c90-ch05-mastery-05,mastery_check,53,o003-c90-ch05-original-mastery-05,original,,,,original_transfer_and_mastery_check
o003-c90-ch05-mastery-06,mastery_check,54,o003-c90-ch05-original-mastery-06,original,,,,original_transfer_and_mastery_check
