alias_occurrence_sequence,canonical_occurrence_sequence,canonical_entry_id,alias_source_anchor,canonical_source_anchor,alias_authority_source_file,alias_authority_line,alias_authority_locator,canonical_authority_source_file,canonical_authority_line,canonical_authority_locator,alias_rule,exact_subtree_sha256
51,49,o003-c90-ch16-exer-d-01,o003-gvsu-ch16-sec_quotients_exer-task-30,o003-gvsu-ch16-sec_quotients_exer-task-28,source/sec_quotients_exer.ptx,473,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_quotients_exer.ptx"",""authority_line"":473,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_quotients_exer"",""xpath"":""/exercises/exercise[13]/task[3]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""b7c9952edab60d89bea40ddc5d7d3f82771b889a6119f989728e5dff91a0e351""}",source/sec_quotients_exer.ptx,456,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_quotients_exer.ptx"",""authority_line"":456,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_quotients_exer"",""xpath"":""/exercises/exercise[13]/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""b7c9952edab60d89bea40ddc5d7d3f82771b889a6119f989728e5dff91a0e351""}",hard_coded_exact_subtree_pair,b7c9952edab60d89bea40ddc5d7d3f82771b889a6119f989728e5dff91a0e351
52,50,o003-c90-ch16-exer-d-02,o003-gvsu-ch16-sec_quotients_exer-task-31,o003-gvsu-ch16-sec_quotients_exer-task-29,source/sec_quotients_exer.ptx,481,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_quotients_exer.ptx"",""authority_line"":481,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_quotients_exer"",""xpath"":""/exercises/exercise[13]/task[4]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""acfa89c4b32ef0ec198481ec47bd4d28e1f1a664856a710f121ef405fb349f2a""}",source/sec_quotients_exer.ptx,464,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_quotients_exer.ptx"",""authority_line"":464,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_quotients_exer"",""xpath"":""/exercises/exercise[13]/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""acfa89c4b32ef0ec198481ec47bd4d28e1f1a664856a710f121ef405fb349f2a""}",hard_coded_exact_subtree_pair,acfa89c4b32ef0ec198481ec47bd4d28e1f1a664856a710f121ef405fb349f2a
