sequence,entry_id,source_anchor,source_anchor_kind,authority_source_file,authority_line,prompt_carrier,authority_locator,parent_group_anchor,support_status
1,o003-c90-ch13-guide-01,o003-gvsu-ch13-sec_closed_sets_top_intro-task-01,synthetic_locale_neutral_alias,source/sec_closed_sets_top_intro.ptx,30,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_closed_sets_top_intro.ptx"",""authority_line"":30,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_closed_sets_top_intro"",""xpath"":""/section/exploration/task[1]/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""c1f63fb8eb0eb55ea679b1d93960fd33bcdb36f5392baeba75535bda0f3501c0""}",o003-gvsu-ch13-sec_closed_sets_top_intro-group-01,covered
2,o003-c90-ch13-guide-02,o003-gvsu-ch13-sec_closed_sets_top_intro-task-02,synthetic_locale_neutral_alias,source/sec_closed_sets_top_intro.ptx,37,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_closed_sets_top_intro.ptx"",""authority_line"":37,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_closed_sets_top_intro"",""xpath"":""/section/exploration/task[1]/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""00733621a480c7a3d98af57ed70158fddee9ba70493a289aeba4cd46fc0633df""}",o003-gvsu-ch13-sec_closed_sets_top_intro-group-01,covered
3,o003-c90-ch13-guide-03,o003-gvsu-ch13-sec_closed_sets_top_intro-task-03,synthetic_locale_neutral_alias,source/sec_closed_sets_top_intro.ptx,44,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_closed_sets_top_intro.ptx"",""authority_line"":44,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_closed_sets_top_intro"",""xpath"":""/section/exploration/task[1]/task[3]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""9c7c90e74400cec5e952ad0afb23f730d273ede5ba42d3b921ab67773011c133""}",o003-gvsu-ch13-sec_closed_sets_top_intro-group-01,covered
4,o003-c90-ch13-guide-04,o003-gvsu-ch13-sec_closed_sets_top_intro-task-04,synthetic_locale_neutral_alias,source/sec_closed_sets_top_intro.ptx,51,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_closed_sets_top_intro.ptx"",""authority_line"":51,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_closed_sets_top_intro"",""xpath"":""/section/exploration/task[1]/task[4]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""142c10dc298987b20d32e23bbb30f16bfa66119a51ca3080fab6f7a83d29f622""}",o003-gvsu-ch13-sec_closed_sets_top_intro-group-01,covered
5,o003-c90-ch13-guide-05,o003-gvsu-ch13-sec_closed_sets_top_intro-task-05,synthetic_locale_neutral_alias,source/sec_closed_sets_top_intro.ptx,59,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_closed_sets_top_intro.ptx"",""authority_line"":59,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_closed_sets_top_intro"",""xpath"":""/section/exploration/task[1]/task[5]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""9815616fad9c20374fc9cebb953429db1aeb3e0f2c5c0e3243838b190c77fd7b""}",o003-gvsu-ch13-sec_closed_sets_top_intro-group-01,covered
6,o003-c90-ch13-guide-06,o003-gvsu-ch13-sec_closed_sets_top_intro-task-06,synthetic_locale_neutral_alias,source/sec_closed_sets_top_intro.ptx,77,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_closed_sets_top_intro.ptx"",""authority_line"":77,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_closed_sets_top_intro"",""xpath"":""/section/exploration/task[2]/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""bbea72989ae0d8b50a35ff3d1ef29ea2592b1c35df946a70ac16e4e5f2db0e5f""}",o003-gvsu-ch13-sec_closed_sets_top_intro-group-02,covered
7,o003-c90-ch13-guide-07,o003-gvsu-ch13-sec_closed_sets_top_intro-task-07,synthetic_locale_neutral_alias,source/sec_closed_sets_top_intro.ptx,85,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_closed_sets_top_intro.ptx"",""authority_line"":85,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_closed_sets_top_intro"",""xpath"":""/section/exploration/task[2]/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""5bbdb43c8242ce1ac1236f2e9359c561a4b7b24fd6949b3d0df92064f6b2a7fb""}",o003-gvsu-ch13-sec_closed_sets_top_intro-group-02,covered
8,o003-c90-ch13-guide-08,o003-gvsu-ch13-sec_closed_sets_top_intro-task-08,synthetic_locale_neutral_alias,source/sec_closed_sets_top_intro.ptx,92,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_closed_sets_top_intro.ptx"",""authority_line"":92,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_closed_sets_top_intro"",""xpath"":""/section/exploration/task[2]/task[3]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""b09a55913e4ac50702413c2e305d6ee0450d756cc786a6641f84e58d9190066c""}",o003-gvsu-ch13-sec_closed_sets_top_intro-group-02,covered
9,o003-c90-ch13-guide-09,o003-gvsu-ch13-sec_closed_sets_top_intro-task-09,synthetic_locale_neutral_alias,source/sec_closed_sets_top_intro.ptx,99,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_closed_sets_top_intro.ptx"",""authority_line"":99,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_closed_sets_top_intro"",""xpath"":""/section/exploration/task[2]/task[4]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""edd228e06b8458b276acd66058760fe7cf170944b976a4fc51f82b7b170fb0d2""}",o003-gvsu-ch13-sec_closed_sets_top_intro-group-02,covered
10,o003-c90-ch13-guide-10,o003-gvsu-ch13-sec_closed_sets_top_intro-task-10,synthetic_locale_neutral_alias,source/sec_closed_sets_top_intro.ptx,107,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_closed_sets_top_intro.ptx"",""authority_line"":107,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_closed_sets_top_intro"",""xpath"":""/section/exploration/task[3]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""5ae15f207a15a378eab1f71c009de7afc7586bd95e7303949d2e424d7b080ad3""}",,covered
