sequence,entry_id,entry_type,license,source_anchor,companion_anchor,statement_id,hint_id,answer_id,solution_id,status
1,o003-c90-ch12-guide-01,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_intro-prompt-01,o003-c90-ch12-guide-01,o003-c90-ch12-guide-01,o003-c90-ch12-guide-01-hint,o003-c90-ch12-guide-01-answer,o003-c90-ch12-guide-01-solution,staged_support_complete
2,o003-c90-ch12-guide-02,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_intro-prompt-02,o003-c90-ch12-guide-02,o003-c90-ch12-guide-02,o003-c90-ch12-guide-02-hint,o003-c90-ch12-guide-02-answer,o003-c90-ch12-guide-02-solution,staged_support_complete
3,o003-c90-ch12-guide-03,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_intro-prompt-03,o003-c90-ch12-guide-03,o003-c90-ch12-guide-03,o003-c90-ch12-guide-03-hint,o003-c90-ch12-guide-03-answer,o003-c90-ch12-guide-03-solution,staged_support_complete
4,o003-c90-ch12-guide-04,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_intro-prompt-04,o003-c90-ch12-guide-04,o003-c90-ch12-guide-04,o003-c90-ch12-guide-04-hint,o003-c90-ch12-guide-04-answer,o003-c90-ch12-guide-04-solution,staged_support_complete
5,o003-c90-ch12-guide-05,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_intro-prompt-05,o003-c90-ch12-guide-05,o003-c90-ch12-guide-05,o003-c90-ch12-guide-05-hint,o003-c90-ch12-guide-05-answer,o003-c90-ch12-guide-05-solution,staged_support_complete
6,o003-c90-ch12-guide-06,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_intro-prompt-06,o003-c90-ch12-guide-06,o003-c90-ch12-guide-06,o003-c90-ch12-guide-06-hint,o003-c90-ch12-guide-06-answer,o003-c90-ch12-guide-06-solution,staged_support_complete
7,o003-c90-ch12-guide-07,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_intro-prompt-07,o003-c90-ch12-guide-07,o003-c90-ch12-guide-07,o003-c90-ch12-guide-07-hint,o003-c90-ch12-guide-07-answer,o003-c90-ch12-guide-07-solution,staged_support_complete
8,o003-c90-ch12-guide-08,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_intro-prompt-08,o003-c90-ch12-guide-08,o003-c90-ch12-guide-08,o003-c90-ch12-guide-08-hint,o003-c90-ch12-guide-08-answer,o003-c90-ch12-guide-08-solution,staged_support_complete
9,o003-c90-ch12-guide-09,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-act_TS_limits1-prompt-01,o003-c90-ch12-guide-09,o003-c90-ch12-guide-09,o003-c90-ch12-guide-09-hint,o003-c90-ch12-guide-09-answer,o003-c90-ch12-guide-09-solution,staged_support_complete
10,o003-c90-ch12-guide-10,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-act_TS_limits1-prompt-02,o003-c90-ch12-guide-10,o003-c90-ch12-guide-10,o003-c90-ch12-guide-10-hint,o003-c90-ch12-guide-10-answer,o003-c90-ch12-guide-10-solution,staged_support_complete
11,o003-c90-ch12-guide-11,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-act_top_basis-prompt-01,o003-c90-ch12-guide-11,o003-c90-ch12-guide-11,o003-c90-ch12-guide-11-hint,o003-c90-ch12-guide-11-answer,o003-c90-ch12-guide-11-solution,staged_support_complete
12,o003-c90-ch12-guide-12,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-act_Basis-prompt-01,o003-c90-ch12-guide-12,o003-c90-ch12-guide-12,o003-c90-ch12-guide-12-hint,o003-c90-ch12-guide-12-answer,o003-c90-ch12-guide-12-solution,staged_support_complete
13,o003-c90-ch12-guide-13,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-act_Basis-prompt-02,o003-c90-ch12-guide-13,o003-c90-ch12-guide-13,o003-c90-ch12-guide-13-hint,o003-c90-ch12-guide-13-answer,o003-c90-ch12-guide-13-solution,staged_support_complete
14,o003-c90-ch12-guide-14,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-act_Basis-prompt-03,o003-c90-ch12-guide-14,o003-c90-ch12-guide-14,o003-c90-ch12-guide-14-hint,o003-c90-ch12-guide-14-answer,o003-c90-ch12-guide-14-solution,staged_support_complete
15,o003-c90-ch12-guide-15,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-act_Basis-prompt-04,o003-c90-ch12-guide-15,o003-c90-ch12-guide-15,o003-c90-ch12-guide-15-hint,o003-c90-ch12-guide-15-answer,o003-c90-ch12-guide-15-solution,staged_support_complete
16,o003-c90-ch12-guide-16,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-basis-final-prompt-01,o003-c90-ch12-guide-16,o003-c90-ch12-guide-16,o003-c90-ch12-guide-16-hint,o003-c90-ch12-guide-16-answer,o003-c90-ch12-guide-16-solution,staged_support_complete
17,o003-c90-ch12-guide-17,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-basis-final-prompt-02,o003-c90-ch12-guide-17,o003-c90-ch12-guide-17,o003-c90-ch12-guide-17-hint,o003-c90-ch12-guide-17-answer,o003-c90-ch12-guide-17-solution,staged_support_complete
18,o003-c90-ch12-guide-18,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-basis-final-prompt-03,o003-c90-ch12-guide-18,o003-c90-ch12-guide-18,o003-c90-ch12-guide-18-hint,o003-c90-ch12-guide-18-answer,o003-c90-ch12-guide-18-solution,staged_support_complete
19,o003-c90-ch12-guide-19,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-basis-final-prompt-04,o003-c90-ch12-guide-19,o003-c90-ch12-guide-19,o003-c90-ch12-guide-19-hint,o003-c90-ch12-guide-19-answer,o003-c90-ch12-guide-19-solution,staged_support_complete
20,o003-c90-ch12-guide-20,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_metric_top_space-prompt-01,o003-c90-ch12-guide-20,o003-c90-ch12-guide-20,o003-c90-ch12-guide-20-hint,o003-c90-ch12-guide-20-answer,o003-c90-ch12-guide-20-solution,staged_support_complete
21,o003-c90-ch12-guide-21,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_neighborhood_top_space-task-01,o003-c90-ch12-guide-21,o003-c90-ch12-guide-21,o003-c90-ch12-guide-21-hint,o003-c90-ch12-guide-21-answer,o003-c90-ch12-guide-21-solution,staged_support_complete
22,o003-c90-ch12-guide-22,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_neighborhood_top_space-task-02,o003-c90-ch12-guide-22,o003-c90-ch12-guide-22,o003-c90-ch12-guide-22-hint,o003-c90-ch12-guide-22-answer,o003-c90-ch12-guide-22-solution,staged_support_complete
23,o003-c90-ch12-guide-23,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_neighborhood_top_space-task-03,o003-c90-ch12-guide-23,o003-c90-ch12-guide-23,o003-c90-ch12-guide-23-hint,o003-c90-ch12-guide-23-answer,o003-c90-ch12-guide-23-solution,staged_support_complete
24,o003-c90-ch12-guide-24,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_neighborhood_top_space-task-04,o003-c90-ch12-guide-24,o003-c90-ch12-guide-24,o003-c90-ch12-guide-24-hint,o003-c90-ch12-guide-24-answer,o003-c90-ch12-guide-24-solution,staged_support_complete
25,o003-c90-ch12-guide-25,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_neighborhood_top_space-task-05,o003-c90-ch12-guide-25,o003-c90-ch12-guide-25,o003-c90-ch12-guide-25-hint,o003-c90-ch12-guide-25-answer,o003-c90-ch12-guide-25-solution,staged_support_complete
26,o003-c90-ch12-guide-26,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_interior_set_top-task-01,o003-c90-ch12-guide-26,o003-c90-ch12-guide-26,o003-c90-ch12-guide-26-hint,o003-c90-ch12-guide-26-answer,o003-c90-ch12-guide-26-solution,staged_support_complete
27,o003-c90-ch12-guide-27,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_interior_set_top-task-02,o003-c90-ch12-guide-27,o003-c90-ch12-guide-27,o003-c90-ch12-guide-27-hint,o003-c90-ch12-guide-27-answer,o003-c90-ch12-guide-27-solution,staged_support_complete
28,o003-c90-ch12-guide-28,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_interior_set_top-task-03,o003-c90-ch12-guide-28,o003-c90-ch12-guide-28,o003-c90-ch12-guide-28-hint,o003-c90-ch12-guide-28-answer,o003-c90-ch12-guide-28-solution,staged_support_complete
29,o003-c90-ch12-guide-29,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_interior_set_top-task-04,o003-c90-ch12-guide-29,o003-c90-ch12-guide-29,o003-c90-ch12-guide-29-hint,o003-c90-ch12-guide-29-answer,o003-c90-ch12-guide-29-solution,staged_support_complete
30,o003-c90-ch12-guide-30,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_interior_set_top-task-05,o003-c90-ch12-guide-30,o003-c90-ch12-guide-30,o003-c90-ch12-guide-30-hint,o003-c90-ch12-guide-30-answer,o003-c90-ch12-guide-30-solution,staged_support_complete
31,o003-c90-ch12-guide-31,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_interior_set_top-task-06,o003-c90-ch12-guide-31,o003-c90-ch12-guide-31,o003-c90-ch12-guide-31-hint,o003-c90-ch12-guide-31-answer,o003-c90-ch12-guide-31-solution,staged_support_complete
32,o003-c90-ch12-exer-a-01,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-opening-task-01,o003-c90-ch12-exer-a-01,o003-c90-ch12-exer-a-01,o003-c90-ch12-exer-a-01-hint,o003-c90-ch12-exer-a-01-answer,o003-c90-ch12-exer-a-01-solution,staged_support_complete
33,o003-c90-ch12-exer-a-02,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-opening-task-02,o003-c90-ch12-exer-a-02,o003-c90-ch12-exer-a-02,o003-c90-ch12-exer-a-02-hint,o003-c90-ch12-exer-a-02-answer,o003-c90-ch12-exer-a-02-solution,staged_support_complete
34,o003-c90-ch12-exer-a-03,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-ex_aZ_top-task-01,o003-c90-ch12-exer-a-03,o003-c90-ch12-exer-a-03,o003-c90-ch12-exer-a-03-hint,o003-c90-ch12-exer-a-03-answer,o003-c90-ch12-exer-a-03-solution,staged_support_complete
35,o003-c90-ch12-exer-a-04,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-ex_aZ_top-task-02,o003-c90-ch12-exer-a-04,o003-c90-ch12-exer-a-04,o003-c90-ch12-exer-a-04-hint,o003-c90-ch12-exer-a-04-answer,o003-c90-ch12-exer-a-04-solution,staged_support_complete
36,o003-c90-ch12-exer-a-05,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-ex_aZ_top-task-03,o003-c90-ch12-exer-a-05,o003-c90-ch12-exer-a-05,o003-c90-ch12-exer-a-05-hint,o003-c90-ch12-exer-a-05-answer,o003-c90-ch12-exer-a-05-solution,staged_support_complete
