sequence,entry_id,entry_type,license,source_anchor,companion_anchor,statement_id,hint_id,answer_id,solution_id,status
37,o003-c90-ch12-exer-a-06,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-ex_aZ_top-task-04,o003-c90-ch12-exer-a-06,o003-c90-ch12-exer-a-06,o003-c90-ch12-exer-a-06-hint,o003-c90-ch12-exer-a-06-answer,o003-c90-ch12-exer-a-06-solution,staged_support_complete
38,o003-c90-ch12-exer-a-07,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-coset-f-task-01,o003-c90-ch12-exer-a-07,o003-c90-ch12-exer-a-07,o003-c90-ch12-exer-a-07-hint,o003-c90-ch12-exer-a-07-answer,o003-c90-ch12-exer-a-07-solution,staged_support_complete
39,o003-c90-ch12-exer-a-08,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-coset-f-task-02,o003-c90-ch12-exer-a-08,o003-c90-ch12-exer-a-08,o003-c90-ch12-exer-a-08-hint,o003-c90-ch12-exer-a-08-answer,o003-c90-ch12-exer-a-08-solution,staged_support_complete
40,o003-c90-ch12-exer-a-09,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-coset-f-task-03,o003-c90-ch12-exer-a-09,o003-c90-ch12-exer-a-09,o003-c90-ch12-exer-a-09-hint,o003-c90-ch12-exer-a-09-answer,o003-c90-ch12-exer-a-09-solution,staged_support_complete
41,o003-c90-ch12-exer-a-10,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-coset-f-task-04,o003-c90-ch12-exer-a-10,o003-c90-ch12-exer-a-10,o003-c90-ch12-exer-a-10-hint,o003-c90-ch12-exer-a-10-answer,o003-c90-ch12-exer-a-10-solution,staged_support_complete
42,o003-c90-ch12-exer-b-01,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-ex_coarse_topology_example-task-01,o003-c90-ch12-exer-b-01,o003-c90-ch12-exer-b-01,o003-c90-ch12-exer-b-01-hint,o003-c90-ch12-exer-b-01-answer,o003-c90-ch12-exer-b-01-solution,staged_support_complete
43,o003-c90-ch12-exer-b-02,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-ex_coarse_topology_example-task-02,o003-c90-ch12-exer-b-02,o003-c90-ch12-exer-b-02,o003-c90-ch12-exer-b-02-hint,o003-c90-ch12-exer-b-02-answer,o003-c90-ch12-exer-b-02-solution,staged_support_complete
44,o003-c90-ch12-exer-b-03,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-weaker_topologies-task-01,o003-c90-ch12-exer-b-03,o003-c90-ch12-exer-b-03,o003-c90-ch12-exer-b-03-hint,o003-c90-ch12-exer-b-03-answer,o003-c90-ch12-exer-b-03-solution,staged_support_complete
45,o003-c90-ch12-exer-b-04,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-weaker_topologies-task-02,o003-c90-ch12-exer-b-04,o003-c90-ch12-exer-b-04,o003-c90-ch12-exer-b-04-hint,o003-c90-ch12-exer-b-04-answer,o003-c90-ch12-exer-b-04-solution,staged_support_complete
46,o003-c90-ch12-exer-b-05,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-weaker_topologies-task-03,o003-c90-ch12-exer-b-05,o003-c90-ch12-exer-b-05,o003-c90-ch12-exer-b-05-hint,o003-c90-ch12-exer-b-05-answer,o003-c90-ch12-exer-b-05-solution,staged_support_complete
47,o003-c90-ch12-exer-b-06,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-weaker_topologies-task-04,o003-c90-ch12-exer-b-06,o003-c90-ch12-exer-b-06,o003-c90-ch12-exer-b-06-hint,o003-c90-ch12-exer-b-06-answer,o003-c90-ch12-exer-b-06-solution,staged_support_complete
48,o003-c90-ch12-exer-b-07,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-weaker_topologies-task-05,o003-c90-ch12-exer-b-07,o003-c90-ch12-exer-b-07,o003-c90-ch12-exer-b-07-hint,o003-c90-ch12-exer-b-07-answer,o003-c90-ch12-exer-b-07-solution,staged_support_complete
49,o003-c90-ch12-exer-b-08,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-finite_minimal_basis-task-01,o003-c90-ch12-exer-b-08,o003-c90-ch12-exer-b-08,o003-c90-ch12-exer-b-08-hint,o003-c90-ch12-exer-b-08-answer,o003-c90-ch12-exer-b-08-solution,staged_support_complete
50,o003-c90-ch12-exer-b-09,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-finite_minimal_basis-task-02,o003-c90-ch12-exer-b-09,o003-c90-ch12-exer-b-09,o003-c90-ch12-exer-b-09-hint,o003-c90-ch12-exer-b-09-answer,o003-c90-ch12-exer-b-09-solution,staged_support_complete
51,o003-c90-ch12-exer-b-10,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-finite_minimal_basis-task-03,o003-c90-ch12-exer-b-10,o003-c90-ch12-exer-b-10,o003-c90-ch12-exer-b-10-hint,o003-c90-ch12-exer-b-10-answer,o003-c90-ch12-exer-b-10-solution,staged_support_complete
52,o003-c90-ch12-exer-c-01,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-finite_minimal_basis-task-04,o003-c90-ch12-exer-c-01,o003-c90-ch12-exer-c-01,o003-c90-ch12-exer-c-01-hint,o003-c90-ch12-exer-c-01-answer,o003-c90-ch12-exer-c-01-solution,staged_support_complete
53,o003-c90-ch12-exer-c-02,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-topology_chains-task-01,o003-c90-ch12-exer-c-02,o003-c90-ch12-exer-c-02,o003-c90-ch12-exer-c-02-hint,o003-c90-ch12-exer-c-02-answer,o003-c90-ch12-exer-c-02-solution,staged_support_complete
54,o003-c90-ch12-exer-c-03,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-finite_topologies-task-01,o003-c90-ch12-exer-c-03,o003-c90-ch12-exer-c-03,o003-c90-ch12-exer-c-03-hint,o003-c90-ch12-exer-c-03-answer,o003-c90-ch12-exer-c-03-solution,staged_support_complete
55,o003-c90-ch12-exer-c-04,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-finite_topologies-task-02,o003-c90-ch12-exer-c-04,o003-c90-ch12-exer-c-04,o003-c90-ch12-exer-c-04-hint,o003-c90-ch12-exer-c-04-answer,o003-c90-ch12-exer-c-04-solution,staged_support_complete
56,o003-c90-ch12-exer-c-05,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-finite_topologies-task-03,o003-c90-ch12-exer-c-05,o003-c90-ch12-exer-c-05,o003-c90-ch12-exer-c-05-hint,o003-c90-ch12-exer-c-05-answer,o003-c90-ch12-exer-c-05-solution,staged_support_complete
57,o003-c90-ch12-exer-d-01,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-tail_topology-direct-01,o003-c90-ch12-exer-d-01,o003-c90-ch12-exer-d-01,o003-c90-ch12-exer-d-01-hint,o003-c90-ch12-exer-d-01-answer,o003-c90-ch12-exer-d-01-solution,staged_support_complete
58,o003-c90-ch12-exer-d-02,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-interior_laws-direct-01,o003-c90-ch12-exer-d-02,o003-c90-ch12-exer-d-02,o003-c90-ch12-exer-d-02-hint,o003-c90-ch12-exer-d-02-answer,o003-c90-ch12-exer-d-02-solution,staged_support_complete
59,o003-c90-ch12-exer-d-03,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-ex_particular_point_topology-direct-01,o003-c90-ch12-exer-d-03,o003-c90-ch12-exer-d-03,o003-c90-ch12-exer-d-03-hint,o003-c90-ch12-exer-d-03-answer,o003-c90-ch12-exer-d-03-solution,staged_support_complete
60,o003-c90-ch12-exer-d-04,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-ex_excluded_point_topology-direct-01,o003-c90-ch12-exer-d-04,o003-c90-ch12-exer-d-04,o003-c90-ch12-exer-d-04-hint,o003-c90-ch12-exer-d-04-answer,o003-c90-ch12-exer-d-04-solution,staged_support_complete
61,o003-c90-ch12-exer-e-01,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-ex_digital_line_topology-task-01,o003-c90-ch12-exer-e-01,o003-c90-ch12-exer-e-01,o003-c90-ch12-exer-e-01-hint,o003-c90-ch12-exer-e-01-answer,o003-c90-ch12-exer-e-01-solution,staged_support_complete
62,o003-c90-ch12-exer-e-02,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-ex_digital_line_topology-open_sets-task-01,o003-c90-ch12-exer-e-02,o003-c90-ch12-exer-e-02,o003-c90-ch12-exer-e-02-hint,o003-c90-ch12-exer-e-02-answer,o003-c90-ch12-exer-e-02-solution,staged_support_complete
63,o003-c90-ch12-exer-e-03,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-ex_digital_line_topology-open_sets-task-02,o003-c90-ch12-exer-e-03,o003-c90-ch12-exer-e-03,o003-c90-ch12-exer-e-03-hint,o003-c90-ch12-exer-e-03-answer,o003-c90-ch12-exer-e-03-solution,staged_support_complete
64,o003-c90-ch12-exer-e-04,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-ex_digital_line_topology-open_sets-task-03,o003-c90-ch12-exer-e-04,o003-c90-ch12-exer-e-04,o003-c90-ch12-exer-e-04-hint,o003-c90-ch12-exer-e-04-answer,o003-c90-ch12-exer-e-04-solution,staged_support_complete
65,o003-c90-ch12-exer-e-05,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-ex_digital_line_topology-open_sets-task-04,o003-c90-ch12-exer-e-05,o003-c90-ch12-exer-e-05,o003-c90-ch12-exer-e-05-hint,o003-c90-ch12-exer-e-05-answer,o003-c90-ch12-exer-e-05-solution,staged_support_complete
66,o003-c90-ch12-exer-e-06,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-ex_digital_line_topology-open_sets-task-05,o003-c90-ch12-exer-e-06,o003-c90-ch12-exer-e-06,o003-c90-ch12-exer-e-06-hint,o003-c90-ch12-exer-e-06-answer,o003-c90-ch12-exer-e-06-solution,staged_support_complete
67,o003-c90-ch12-exer-e-07,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-ex_digital_line_topology-open_sets-task-06,o003-c90-ch12-exer-e-07,o003-c90-ch12-exer-e-07,o003-c90-ch12-exer-e-07-hint,o003-c90-ch12-exer-e-07-answer,o003-c90-ch12-exer-e-07-solution,staged_support_complete
68,o003-c90-ch12-exer-f-01,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-ex_TS_Zariski-task-01,o003-c90-ch12-exer-f-01,o003-c90-ch12-exer-f-01,o003-c90-ch12-exer-f-01-hint,o003-c90-ch12-exer-f-01-answer,o003-c90-ch12-exer-f-01-solution,staged_support_complete
69,o003-c90-ch12-exer-f-02,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-ex_TS_Zariski-task-02,o003-c90-ch12-exer-f-02,o003-c90-ch12-exer-f-02,o003-c90-ch12-exer-f-02-hint,o003-c90-ch12-exer-f-02-answer,o003-c90-ch12-exer-f-02-solution,staged_support_complete
70,o003-c90-ch12-exer-f-03,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-ex_TS_Zariski-task-03,o003-c90-ch12-exer-f-03,o003-c90-ch12-exer-f-03,o003-c90-ch12-exer-f-03-hint,o003-c90-ch12-exer-f-03-answer,o003-c90-ch12-exer-f-03-solution,staged_support_complete
71,o003-c90-ch12-exer-f-04,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-ex_TS_Zariski-task-04,o003-c90-ch12-exer-f-04,o003-c90-ch12-exer-f-04,o003-c90-ch12-exer-f-04-hint,o003-c90-ch12-exer-f-04-answer,o003-c90-ch12-exer-f-04-solution,staged_support_complete
72,o003-c90-ch12-exer-f-05,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-ex_TS_Zariski-task-05,o003-c90-ch12-exer-f-05,o003-c90-ch12-exer-f-05,o003-c90-ch12-exer-f-05-hint,o003-c90-ch12-exer-f-05-answer,o003-c90-ch12-exer-f-05-solution,staged_support_complete
73,o003-c90-ch12-exer-g-01,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-true_false-task-01,o003-c90-ch12-exer-g-01,o003-c90-ch12-exer-g-01,o003-c90-ch12-exer-g-01-hint,o003-c90-ch12-exer-g-01-answer,o003-c90-ch12-exer-g-01-solution,staged_support_complete
74,o003-c90-ch12-exer-g-02,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-true_false-task-02,o003-c90-ch12-exer-g-02,o003-c90-ch12-exer-g-02,o003-c90-ch12-exer-g-02-hint,o003-c90-ch12-exer-g-02-answer,o003-c90-ch12-exer-g-02-solution,staged_support_complete
75,o003-c90-ch12-exer-g-03,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-true_false-task-03,o003-c90-ch12-exer-g-03,o003-c90-ch12-exer-g-03,o003-c90-ch12-exer-g-03-hint,o003-c90-ch12-exer-g-03-answer,o003-c90-ch12-exer-g-03-solution,staged_support_complete
76,o003-c90-ch12-exer-g-04,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-true_false-task-04,o003-c90-ch12-exer-g-04,o003-c90-ch12-exer-g-04,o003-c90-ch12-exer-g-04-hint,o003-c90-ch12-exer-g-04-answer,o003-c90-ch12-exer-g-04-solution,staged_support_complete
77,o003-c90-ch12-exer-g-05,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-true_false-task-05,o003-c90-ch12-exer-g-05,o003-c90-ch12-exer-g-05,o003-c90-ch12-exer-g-05-hint,o003-c90-ch12-exer-g-05-answer,o003-c90-ch12-exer-g-05-solution,staged_support_complete
78,o003-c90-ch12-exer-g-06,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-true_false-task-06,o003-c90-ch12-exer-g-06,o003-c90-ch12-exer-g-06,o003-c90-ch12-exer-g-06-hint,o003-c90-ch12-exer-g-06-answer,o003-c90-ch12-exer-g-06-solution,staged_support_complete
79,o003-c90-ch12-exer-g-07,source_prompt_guide,CC BY 4.0,o003-gvsu-ch12-sec_top_space_exer-true_false-task-07,o003-c90-ch12-exer-g-07,o003-c90-ch12-exer-g-07,o003-c90-ch12-exer-g-07-hint,o003-c90-ch12-exer-g-07-answer,o003-c90-ch12-exer-g-07-solution,staged_support_complete
80,o003-c90-ch12-mastery-01,original_mastery,CC BY 4.0,,o003-c90-ch12-mastery-01,o003-c90-ch12-mastery-01,o003-c90-ch12-mastery-01-hint,o003-c90-ch12-mastery-01-answer,o003-c90-ch12-mastery-01-solution,staged_support_complete
81,o003-c90-ch12-mastery-02,original_mastery,CC BY 4.0,,o003-c90-ch12-mastery-02,o003-c90-ch12-mastery-02,o003-c90-ch12-mastery-02-hint,o003-c90-ch12-mastery-02-answer,o003-c90-ch12-mastery-02-solution,staged_support_complete
82,o003-c90-ch12-mastery-03,original_mastery,CC BY 4.0,,o003-c90-ch12-mastery-03,o003-c90-ch12-mastery-03,o003-c90-ch12-mastery-03-hint,o003-c90-ch12-mastery-03-answer,o003-c90-ch12-mastery-03-solution,staged_support_complete
83,o003-c90-ch12-mastery-04,original_mastery,CC BY 4.0,,o003-c90-ch12-mastery-04,o003-c90-ch12-mastery-04,o003-c90-ch12-mastery-04-hint,o003-c90-ch12-mastery-04-answer,o003-c90-ch12-mastery-04-solution,staged_support_complete
84,o003-c90-ch12-mastery-05,original_mastery,CC BY 4.0,,o003-c90-ch12-mastery-05,o003-c90-ch12-mastery-05,o003-c90-ch12-mastery-05-hint,o003-c90-ch12-mastery-05-answer,o003-c90-ch12-mastery-05-solution,staged_support_complete
85,o003-c90-ch12-mastery-06,original_mastery,CC BY 4.0,,o003-c90-ch12-mastery-06,o003-c90-ch12-mastery-06,o003-c90-ch12-mastery-06-hint,o003-c90-ch12-mastery-06-answer,o003-c90-ch12-mastery-06-solution,staged_support_complete
86,o003-c90-ch12-mastery-07,original_mastery,CC BY 4.0,,o003-c90-ch12-mastery-07,o003-c90-ch12-mastery-07,o003-c90-ch12-mastery-07-hint,o003-c90-ch12-mastery-07-answer,o003-c90-ch12-mastery-07-solution,staged_support_complete
