sequence,entry_id,source_anchor,source_anchor_kind,authority_source_file,authority_line,prompt_carrier,authority_locator,parent_group_anchor,support_status
1,o003-c90-ch15-guide-01,o003-gvsu-ch15-act_TS_subspace-task-01,synthetic_locale_neutral_alias,source/sec_sub.ptx,36,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_sub.ptx"",""authority_line"":36,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""act_TS_subspace"",""xpath"":""/section/exploration/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""266911f3a19d3a1b14febf1c09ff5df64bc5dd41fa1341aa62ea6217b0123500""}",,pending
2,o003-c90-ch15-guide-02,o003-gvsu-ch15-sec_sub-task-01,synthetic_locale_neutral_alias,source/sec_sub.ptx,66,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_sub.ptx"",""authority_line"":66,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_sub"",""xpath"":""/section/exploration/task[2]/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""fcbf99c3d632e81d604369dd7137386e63c764503da7f17c8e0102e19ec05ac5""}",o003-gvsu-ch15-sec_sub-group-01,pending
3,o003-c90-ch15-guide-03,o003-gvsu-ch15-sec_sub-task-02,synthetic_locale_neutral_alias,source/sec_sub.ptx,76,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_sub.ptx"",""authority_line"":76,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_sub"",""xpath"":""/section/exploration/task[2]/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""20cc366f954c3c36881520366f4506fcc8895fef2842f42526d14b99dec60bc5""}",o003-gvsu-ch15-sec_sub-group-01,pending
4,o003-c90-ch15-guide-04,o003-gvsu-ch15-sec_sub-task-03,synthetic_locale_neutral_alias,source/sec_sub.ptx,85,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_sub.ptx"",""authority_line"":85,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_sub"",""xpath"":""/section/exploration/task[2]/task[3]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""336621d8542a3e82fff5703c1cefe7ccf9d15a8afc6f7a3a7de0d8b2a2d7a046""}",o003-gvsu-ch15-sec_sub-group-01,pending
5,o003-c90-ch15-guide-05,o003-gvsu-ch15-sec_sub-task-04,synthetic_locale_neutral_alias,source/sec_sub.ptx,94,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_sub.ptx"",""authority_line"":94,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_sub"",""xpath"":""/section/exploration/task[2]/task[4]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""312393c5eac495d406c18b39e760c91c9c54f4a29047053cb35db299fa948804""}",o003-gvsu-ch15-sec_sub-group-01,pending
6,o003-c90-ch15-guide-06,o003-gvsu-ch15-sec_sub-task-05,synthetic_locale_neutral_alias,source/sec_sub.ptx,104,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_sub.ptx"",""authority_line"":104,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_sub"",""xpath"":""/section/exploration/task[2]/task[5]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""8306444046811916c54db057299f7a43ee5b562c857b7ca6419c2e07bdeaa3d6""}",o003-gvsu-ch15-sec_sub-group-01,pending
7,o003-c90-ch15-guide-07,o003-gvsu-ch15-sec_sub-task-06,synthetic_locale_neutral_alias,source/sec_sub.ptx,113,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_sub.ptx"",""authority_line"":113,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_sub"",""xpath"":""/section/exploration/task[2]/task[6]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""f3dd7ab5fd4234d84fdd0175181dff68212069bc29e004a7aa3f6f87fbb8146d""}",o003-gvsu-ch15-sec_sub-group-01,pending
8,o003-c90-ch15-guide-08,o003-gvsu-ch15-sec_subspace_top-task-01,synthetic_locale_neutral_alias,source/sec_subspace_top.ptx,33,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_subspace_top.ptx"",""authority_line"":33,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_subspace_top"",""xpath"":""/section/activity/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""b5d395d8cb871fdea93fd8e023d25eecdca0e378eace41a0d85b39a15a1e21bf""}",,pending
9,o003-c90-ch15-guide-09,o003-gvsu-ch15-sec_subspace_top-task-02,synthetic_locale_neutral_alias,source/sec_subspace_top.ptx,44,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_subspace_top.ptx"",""authority_line"":44,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_subspace_top"",""xpath"":""/section/activity/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""78fdfc9469a84efb907d3aae97e594348eff049ff31e0d58d8df28d693d06f6a""}",,pending
10,o003-c90-ch15-guide-10,o003-gvsu-ch15-sec_base_sub-task-01,synthetic_locale_neutral_alias,source/sec_base_sub.ptx,17,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_base_sub.ptx"",""authority_line"":17,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_base_sub"",""xpath"":""/section/activity/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""3e8d58f90b09cc3d4b7bb4271b6ac2cfba0908cbadbce7e910874869e797ed68""}",,pending
