companion_entry_id,entry_kind,sequence,source_anchor_id,anchor_origin,authority_file,authority_line,authority_selector,relationship
o003-c90-ch01-checkpoint-pa-sets,activity_checkpoint,1,pa_sets,upstream,source/sec_sets_intro.ptx,6,"exploration[@xml:id='pa_sets']",checks
o003-c90-ch01-checkpoint-rubber-sheet,activity_checkpoint,2,act_rubber_sheet,upstream,source/sec_basic_top.ptx,18,"activity[@xml:id='act_rubber_sheet']",checks
o003-c90-ch01-checkpoint-set-equality,activity_checkpoint,3,act_set_equality,upstream,source/sec_union_int_comp.ptx,32,"activity[@xml:id='act_set_equality']",checks
o003-c90-ch01-checkpoint-set-operations,activity_checkpoint,4,act_sets_1,upstream,source/sec_union_int_comp.ptx,236,"activity[@xml:id='act_sets_1']",checks
o003-c90-ch01-checkpoint-indexed-family,activity_checkpoint,5,o003-gvsu-ch01-activity-05-indexed-family,assigned_locale_neutral,source/sec_union_int_comp.ptx,310,activity[3],checks
o003-c90-ch01-checkpoint-demorgan,activity_checkpoint,6,o003-gvsu-ch01-activity-06-demorgan,assigned_locale_neutral,source/sec_union_int_comp.ptx,435,activity[4],checks
o003-c90-ch01-checkpoint-cartesian-product,activity_checkpoint,7,o003-gvsu-ch01-activity-07-cartesian-product,assigned_locale_neutral,source/sec_cart_prod.ptx,34,activity[1],checks
o003-c90-ch01-exercise-01,exercise_guide,1,o003-gvsu-ch01-exercise-01,assigned_locale_neutral,source/sec_sets_exer.ptx,3,exercise[1],guides
o003-c90-ch01-exercise-02,exercise_guide,2,o003-gvsu-ch01-exercise-02,assigned_locale_neutral,source/sec_sets_exer.ptx,63,exercise[2],guides
o003-c90-ch01-exercise-03,exercise_guide,3,ex_set_props,upstream,source/sec_sets_exer.ptx,86,"exercise[@xml:id='ex_set_props']",guides
o003-c90-ch01-exercise-04,exercise_guide,4,ex_DeMorgan,upstream,source/sec_sets_exer.ptx,117,"exercise[@xml:id='ex_DeMorgan']",guides
o003-c90-ch01-exercise-05,exercise_guide,5,o003-gvsu-ch01-exercise-05,assigned_locale_neutral,source/sec_sets_exer.ptx,142,exercise[5],guides
o003-c90-ch01-exercise-06,exercise_guide,6,ex_power_set,upstream,source/sec_sets_exer.ptx,151,"exercise[@xml:id='ex_power_set']",guides
o003-c90-ch01-exercise-07,exercise_guide,7,o003-gvsu-ch01-exercise-07,assigned_locale_neutral,source/sec_sets_exer.ptx,187,exercise[7],guides
o003-c90-ch01-exercise-08,exercise_guide,8,o003-gvsu-ch01-exercise-08,assigned_locale_neutral,source/sec_sets_exer.ptx,245,exercise[8],guides
o003-c90-ch01-exercise-09,exercise_guide,9,o003-gvsu-ch01-exercise-09,assigned_locale_neutral,source/sec_sets_exer.ptx,257,exercise[9],guides
o003-c90-ch01-exercise-10,exercise_guide,10,o003-gvsu-ch01-exercise-10,assigned_locale_neutral,source/sec_sets_exer.ptx,272,exercise[10],guides
o003-c90-ch01-mastery-01,mastery_check,1,o003-c90-ch01-mastery-01,original_companion,repo/companion/chapter_01_sets_self_study.ptx,,"exercise[@xml:id='o003-c90-ch01-mastery-01']",contains
o003-c90-ch01-mastery-02,mastery_check,2,o003-c90-ch01-mastery-02,original_companion,repo/companion/chapter_01_sets_self_study.ptx,,"exercise[@xml:id='o003-c90-ch01-mastery-02']",contains
o003-c90-ch01-mastery-03,mastery_check,3,o003-c90-ch01-mastery-03,original_companion,repo/companion/chapter_01_sets_self_study.ptx,,"exercise[@xml:id='o003-c90-ch01-mastery-03']",contains
o003-c90-ch01-mastery-04,mastery_check,4,o003-c90-ch01-mastery-04,original_companion,repo/companion/chapter_01_sets_self_study.ptx,,"exercise[@xml:id='o003-c90-ch01-mastery-04']",contains
o003-c90-ch01-mastery-05,mastery_check,5,o003-c90-ch01-mastery-05,original_companion,repo/companion/chapter_01_sets_self_study.ptx,,"exercise[@xml:id='o003-c90-ch01-mastery-05']",contains
o003-c90-ch01-mastery-06,mastery_check,6,o003-c90-ch01-mastery-06,original_companion,repo/companion/chapter_01_sets_self_study.ptx,,"exercise[@xml:id='o003-c90-ch01-mastery-06']",contains
