sequence,entry_id,source_anchor,source_anchor_kind,authority_source_file,authority_line,prompt_carrier,authority_locator,parent_group_anchor,support_status
1,o003-c90-ch18-guide-01,o003-gvsu-ch18-sec_connect_top_intro-task-01,synthetic_locale_neutral_alias,source/sec_connect_top_intro.ptx,70,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_connect_top_intro.ptx"",""authority_line"":70,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_connect_top_intro"",""xpath"":""/section/exploration/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""de5f0570f869311e6d1ebfc29c656e0d98fcca881f5c0234c91850df594197bb""}",,covered
2,o003-c90-ch18-guide-02,o003-gvsu-ch18-sec_connect_top_intro-task-02,synthetic_locale_neutral_alias,source/sec_connect_top_intro.ptx,78,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_connect_top_intro.ptx"",""authority_line"":78,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_connect_top_intro"",""xpath"":""/section/exploration/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""9360e76cdc036991b3a42249a8e0fd8d945302530fd23fcea23f4015e0f45d4b""}",,covered
3,o003-c90-ch18-guide-03,o003-gvsu-ch18-sec_connect_top_intro-task-03,synthetic_locale_neutral_alias,source/sec_connect_top_intro.ptx,89,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_connect_top_intro.ptx"",""authority_line"":89,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_connect_top_intro"",""xpath"":""/section/exploration/task[3]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""06b09babfda843cdb105f6e280cc11c0363d8c8c5e7bec16cb8f1e38ea31b943""}",,covered
4,o003-c90-ch18-guide-04,o003-gvsu-ch18-sec_connect_top_intro-task-04,synthetic_locale_neutral_alias,source/sec_connect_top_intro.ptx,99,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_connect_top_intro.ptx"",""authority_line"":99,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_connect_top_intro"",""xpath"":""/section/exploration/task[4]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""3add7b10b236f90013870b0bc719478368f255b51991db707f7e317b8db3da5d""}",,covered
5,o003-c90-ch18-guide-05,o003-gvsu-ch18-sec_connect_top_intro-task-05,synthetic_locale_neutral_alias,source/sec_connect_top_intro.ptx,108,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_connect_top_intro.ptx"",""authority_line"":108,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_connect_top_intro"",""xpath"":""/section/exploration/task[5]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""217ed530ff298f74adbefce6d9ee5964b2458b07b0d90858b11e57d6bb6e091a""}",,covered
6,o003-c90-ch18-guide-06,o003-gvsu-ch18-sec_connect_top_intro-task-06,synthetic_locale_neutral_alias,source/sec_connect_top_intro.ptx,117,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_connect_top_intro.ptx"",""authority_line"":117,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_connect_top_intro"",""xpath"":""/section/exploration/task[6]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""66a63ba734e01cad2f0f63c9a47144872c9efc2e80f7b1d9d646a59768c9d90b""}",,covered
7,o003-c90-ch18-guide-07,o003-gvsu-ch18-sec_connect_top_intro-task-07,synthetic_locale_neutral_alias,source/sec_connect_top_intro.ptx,125,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_connect_top_intro.ptx"",""authority_line"":125,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_connect_top_intro"",""xpath"":""/section/exploration/task[7]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""1982e7d2bf133fa36dc38961d018ac0f026a662926649c523d4aaff6669e6d77""}",,covered
8,o003-c90-ch18-guide-08,o003-gvsu-ch18-sec_connect_top_intro-task-08,synthetic_locale_neutral_alias,source/sec_connect_top_intro.ptx,132,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_connect_top_intro.ptx"",""authority_line"":132,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_connect_top_intro"",""xpath"":""/section/exploration/task[8]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""973135c4059de2785db31c648b25d8527ba7f99139ce2d77c6a8624a1f09e3ca""}",,covered
9,o003-c90-ch18-guide-09,o003-gvsu-ch18-sec_connect_sets-task-01,synthetic_locale_neutral_alias,source/sec_connect_sets.ptx,16,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_connect_sets.ptx"",""authority_line"":16,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_connect_sets"",""xpath"":""/section/activity[1]/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""b48e424c834ceacec877d6b7aa364e6b0555cf6bb217889b6e6dfbaa11ab4084""}",,covered
10,o003-c90-ch18-guide-10,o003-gvsu-ch18-sec_connect_sets-task-02,synthetic_locale_neutral_alias,source/sec_connect_sets.ptx,26,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_connect_sets.ptx"",""authority_line"":26,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_connect_sets"",""xpath"":""/section/activity[1]/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""4af4bb712390f332a2ebc117d4091f3edd1c6a8d6fdaed37b11d44d8f743db5d""}",,covered
11,o003-c90-ch18-guide-11,o003-gvsu-ch18-sec_connect_sets-task-03,synthetic_locale_neutral_alias,source/sec_connect_sets.ptx,35,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_connect_sets.ptx"",""authority_line"":35,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_connect_sets"",""xpath"":""/section/activity[1]/task[3]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""4cde55913ca1e9be4793eae0fc10cf2f1f64f5dd304b3015f564aa43502f19dd""}",,covered
12,o003-c90-ch18-guide-12,o003-gvsu-ch18-sec_connect_sets-task-04,synthetic_locale_neutral_alias,source/sec_connect_sets.ptx,119,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_connect_sets.ptx"",""authority_line"":119,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_connect_sets"",""xpath"":""/section/activity[2]/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""d48e2c91362aa6a134e8b907154a607a9f0e07fe8702d460fe90c582d7466c01""}",,covered
13,o003-c90-ch18-guide-13,o003-gvsu-ch18-sec_connect_sets-task-05,synthetic_locale_neutral_alias,source/sec_connect_sets.ptx,134,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_connect_sets.ptx"",""authority_line"":134,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_connect_sets"",""xpath"":""/section/activity[2]/task[2]/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""e37a807e8e3f88a83c91b17af9562202d356ec041b56a650c483e77244cef20a""}",o003-gvsu-ch18-sec_connect_sets-group-01,covered
