companion_entry_id,entry_kind,sequence,source_anchor_id,anchor_origin,authority_file,authority_line,authority_selector,relationship
o003-c90-ch04-hamming-task-01,source_task_guide,1,o003-gvsu-ch04-sec_hamming-task-01,assigned_locale_neutral,source/sec_hamming.ptx,67,(//task)[1],provides_staged_support_for_source_task
o003-c90-ch04-hamming-task-02,source_task_guide,2,o003-gvsu-ch04-sec_hamming-task-02,assigned_locale_neutral,source/sec_hamming.ptx,75,(//task)[2],provides_staged_support_for_source_task
o003-c90-ch04-hamming-task-03,source_task_guide,3,o003-gvsu-ch04-sec_hamming-task-03,assigned_locale_neutral,source/sec_hamming.ptx,98,(//task)[3],provides_staged_support_for_source_task
o003-c90-ch04-hamming-task-04,source_task_guide,4,o003-gvsu-ch04-sec_hamming-task-04,assigned_locale_neutral,source/sec_hamming.ptx,107,(//task)[4],provides_staged_support_for_source_task
o003-c90-ch04-hamming-task-05,source_task_guide,5,o003-gvsu-ch04-sec_hamming-task-05,assigned_locale_neutral,source/sec_hamming.ptx,114,(//task)[5],provides_staged_support_for_source_task
o003-c90-ch04-levenshtein-task-01,source_task_guide,6,o003-gvsu-ch04-sec_levenshtein-task-01,assigned_locale_neutral,source/sec_levenshtein.ptx,58,(//task)[1],provides_staged_support_for_source_task
o003-c90-ch04-levenshtein-task-02,source_task_guide,7,o003-gvsu-ch04-sec_levenshtein-task-02,assigned_locale_neutral,source/sec_levenshtein.ptx,70,(//task)[2],provides_staged_support_for_source_task
o003-c90-ch04-levenshtein-task-03,source_task_guide,8,o003-gvsu-ch04-sec_levenshtein-task-03,assigned_locale_neutral,source/sec_levenshtein.ptx,113,(//task)[3],provides_staged_support_for_source_task
o003-c90-ch04-mastery-01,mastery_check,9,o003-c90-ch04-original-mastery-01,original,,,,original_transfer_and_mastery_check
o003-c90-ch04-mastery-02,mastery_check,10,o003-c90-ch04-original-mastery-02,original,,,,original_transfer_and_mastery_check
o003-c90-ch04-mastery-03,mastery_check,11,o003-c90-ch04-original-mastery-03,original,,,,original_transfer_and_mastery_check
o003-c90-ch04-mastery-04,mastery_check,12,o003-c90-ch04-original-mastery-04,original,,,,original_transfer_and_mastery_check
