sequence,entry_id,source_anchor,source_anchor_kind,authority_source_file,authority_line,prompt_carrier,authority_locator,parent_group_anchor,support_status
1,o003-c90-ch17-guide-01,o003-gvsu-ch17-sec_compact_top_intro-task-01,synthetic_locale_neutral_alias,source/sec_compact_top_intro.ptx,137,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_compact_top_intro.ptx"",""authority_line"":137,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_compact_top_intro"",""xpath"":""/section/exploration/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""5adeb448fd4150b14c6502f16106ecb14b1e3a833a81a92022391c6a759ec565""}",,covered
2,o003-c90-ch17-guide-02,o003-gvsu-ch17-sec_compact_top_intro-task-02,synthetic_locale_neutral_alias,source/sec_compact_top_intro.ptx,145,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_compact_top_intro.ptx"",""authority_line"":145,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_compact_top_intro"",""xpath"":""/section/exploration/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""b8ca096ddc70ae7156f95b4113fc1db0e36bfd11349b265ba2aff378951ab46c""}",,covered
3,o003-c90-ch17-guide-03,o003-gvsu-ch17-sec_compact_top_intro-task-03,synthetic_locale_neutral_alias,source/sec_compact_top_intro.ptx,152,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_compact_top_intro.ptx"",""authority_line"":152,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_compact_top_intro"",""xpath"":""/section/exploration/task[3]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""96c3616043d627655713cee2e45cc36f500af23b519703d78c25f75f814d70c3""}",,covered
4,o003-c90-ch17-guide-04,o003-gvsu-ch17-sec_compact_top_intro-task-04,synthetic_locale_neutral_alias,source/sec_compact_top_intro.ptx,159,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_compact_top_intro.ptx"",""authority_line"":159,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_compact_top_intro"",""xpath"":""/section/exploration/task[4]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""a6bd07fd9db3bbdd9f33d0af4f5b5879fa2dc4aed461ff513a1a8174098b5567""}",,covered
5,o003-c90-ch17-guide-05,o003-gvsu-ch17-sec_compact_top_intro-task-05,synthetic_locale_neutral_alias,source/sec_compact_top_intro.ptx,166,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_compact_top_intro.ptx"",""authority_line"":166,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_compact_top_intro"",""xpath"":""/section/exploration/task[5]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""0e3be47521d5d03a219f898ade4c490a158925f802335a4bf9d0ce02c2c7ec5f""}",,covered
6,o003-c90-ch17-guide-06,o003-gvsu-ch17-sec_compact_top_intro-task-06,synthetic_locale_neutral_alias,source/sec_compact_top_intro.ptx,173,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_compact_top_intro.ptx"",""authority_line"":173,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_compact_top_intro"",""xpath"":""/section/exploration/task[6]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""1c13ab623cddd2138cf6d9526d7a2cc9efbb8b7406ef9f096fe0a70de55300aa""}",,covered
7,o003-c90-ch17-guide-07,o003-gvsu-ch17-act_compact_clopen-task-01,synthetic_locale_neutral_alias,source/sec_compact_cont.ptx,20,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_compact_cont.ptx"",""authority_line"":20,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""act_compact_clopen"",""xpath"":""/section/activity[1]/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""aa2dee8309ea90dcc59fd7eff84d85e995a44df8f8a8eaf8f03f89694c7ee707""}",,covered
8,o003-c90-ch17-guide-08,o003-gvsu-ch17-act_compact_clopen-task-02,synthetic_locale_neutral_alias,source/sec_compact_cont.ptx,27,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_compact_cont.ptx"",""authority_line"":27,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""act_compact_clopen"",""xpath"":""/section/activity[1]/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""c194bb40e3647fdb5c5fd140d31b272410badfb6427fa5e51f5729b01ccbeed6""}",,covered
9,o003-c90-ch17-guide-09,o003-gvsu-ch17-act_compact_clopen-task-03,synthetic_locale_neutral_alias,source/sec_compact_cont.ptx,35,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_compact_cont.ptx"",""authority_line"":35,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""act_compact_clopen"",""xpath"":""/section/activity[1]/task[3]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""ec3f2ae331ffdf4645707a52f90df717a24d162dc875d9a9419ca9dd3cbf3f45""}",,covered
10,o003-c90-ch17-guide-10,o003-gvsu-ch17-act_compact_clopen-task-04,synthetic_locale_neutral_alias,source/sec_compact_cont.ptx,43,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_compact_cont.ptx"",""authority_line"":43,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""act_compact_clopen"",""xpath"":""/section/activity[1]/task[4]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""b37a992ad73a307bab870d7a4d296d773da615955c7cdba376ec0beea89fe049""}",,covered
