sequence,entry_id,source_anchor,source_anchor_kind,authority_source_file,authority_line,prompt_carrier,authority_locator,parent_group_anchor,support_status
1,o003-c90-ch14-guide-01,o003-gvsu-ch14-sec_cont_top_intro-task-01,synthetic_locale_neutral_alias,source/sec_cont_top_intro.ptx,59,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_cont_top_intro.ptx"",""authority_line"":59,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_cont_top_intro"",""xpath"":""/section/exploration/task[1]/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""3d259e88dc66d461ec2d3be859da969cd328afff54eecdd89bcb846f66dbb87d""}",o003-gvsu-ch14-sec_cont_top_intro-group-01,pending
2,o003-c90-ch14-guide-02,o003-gvsu-ch14-sec_cont_top_intro-task-02,synthetic_locale_neutral_alias,source/sec_cont_top_intro.ptx,66,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_cont_top_intro.ptx"",""authority_line"":66,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_cont_top_intro"",""xpath"":""/section/exploration/task[1]/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""1104e322e6cd9ae33f9a1822c6661996e1d56518d832c959ba2f29f884faa804""}",o003-gvsu-ch14-sec_cont_top_intro-group-01,pending
3,o003-c90-ch14-guide-03,o003-gvsu-ch14-sec_cont_top_intro-task-03,synthetic_locale_neutral_alias,source/sec_cont_top_intro.ptx,89,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_cont_top_intro.ptx"",""authority_line"":89,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_cont_top_intro"",""xpath"":""/section/exploration/task[2]/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""74a901a71b2d761b42b23dff29830a37fd26e39251dec3c177ef836f15263b85""}",o003-gvsu-ch14-sec_cont_top_intro-group-02,pending
4,o003-c90-ch14-guide-04,o003-gvsu-ch14-sec_cont_top_intro-task-04,synthetic_locale_neutral_alias,source/sec_cont_top_intro.ptx,96,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_cont_top_intro.ptx"",""authority_line"":96,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_cont_top_intro"",""xpath"":""/section/exploration/task[2]/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""38b78fd049f48f1da3a8b37a4bfe855eac18c6bdb98112491b565d9865155356""}",o003-gvsu-ch14-sec_cont_top_intro-group-02,pending
5,o003-c90-ch14-guide-05,o003-gvsu-ch14-sec_cont_top_intro-task-05,synthetic_locale_neutral_alias,source/sec_cont_top_intro.ptx,106,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_cont_top_intro.ptx"",""authority_line"":106,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_cont_top_intro"",""xpath"":""/section/exploration/task[3]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""52f5a0c0f6ebf556354c4e039c3a3dcc2efe6053e375e094754ca2183ef86698""}",,pending
6,o003-c90-ch14-guide-06,o003-gvsu-ch14-sec_cont_top_intro-task-06,synthetic_locale_neutral_alias,source/sec_cont_top_intro.ptx,129,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_cont_top_intro.ptx"",""authority_line"":129,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_cont_top_intro"",""xpath"":""/section/exploration/task[4]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""5c2c756bdca877e7d24c7183cc3a147bcfeef5500acf2f6fefb5e5c5924872d2""}",,pending
7,o003-c90-ch14-guide-07,o003-gvsu-ch14-sec_cont_top_intro-task-07,synthetic_locale_neutral_alias,source/sec_cont_top_intro.ptx,139,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_cont_top_intro.ptx"",""authority_line"":139,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_cont_top_intro"",""xpath"":""/section/exploration/task[5]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""6ceef9c1718977e0707dfd704be7389f2e4623ad921ee261c24dbf5878dc5ef2""}",,pending
8,o003-c90-ch14-guide-08,o003-gvsu-ch14-sec_cont_top_intro-task-08,synthetic_locale_neutral_alias,source/sec_cont_top_intro.ptx,151,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_cont_top_intro.ptx"",""authority_line"":151,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_cont_top_intro"",""xpath"":""/section/exploration/task[6]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""641e34552abf4d753011411adf2d4b5f1398609084cecddc1035a873148e704b""}",,pending
9,o003-c90-ch14-guide-09,o003-gvsu-ch14-sec_cont_top_intro-task-09,synthetic_locale_neutral_alias,source/sec_cont_top_intro.ptx,163,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_cont_top_intro.ptx"",""authority_line"":163,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_cont_top_intro"",""xpath"":""/section/exploration/task[7]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""c3aaa20ed2b2ecb5599593b641febb2dcb4ec39b7df9468ee0cb4775481840ce""}",,pending
10,o003-c90-ch14-guide-10,o003-gvsu-ch14-sec_cont_top_intro-task-10,synthetic_locale_neutral_alias,source/sec_cont_top_intro.ptx,209,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_cont_top_intro.ptx"",""authority_line"":209,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_cont_top_intro"",""xpath"":""/section/activity/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""8460fa10bd6fa3838f27134a23493db7d1b5a16c28a98827fce468e0a45fe1a1""}",,pending
