companion_entry_id,entry_kind,sequence,source_anchor_id,anchor_origin,authority_file,authority_line,authority_selector,relationship
o003-c90-ch03-checkpoint-01,activity_checkpoint,1,o003-gvsu-ch03-exploration-01-taxicab,assigned_locale_neutral,source/sec_metric_space_intro.ptx,35,exploration[1],checks
o003-c90-ch03-checkpoint-02,activity_checkpoint,2,act_MS_metrics,upstream,source/sec_metric_space.ptx,67,"activity[@xml:id='act_MS_metrics']",checks
o003-c90-ch03-checkpoint-03,activity_checkpoint,3,o003-gvsu-ch03-activity-03-euclidean-axioms,assigned_locale_neutral,source/sec_euclid_rn.ptx,30,activity[1],checks
o003-c90-ch03-checkpoint-04,activity_checkpoint,4,o003-gvsu-ch03-activity-04-cauchy-schwarz-cases,assigned_locale_neutral,source/sec_euclid_rn.ptx,90,activity[2],checks
o003-c90-ch03-checkpoint-05,activity_checkpoint,5,o003-gvsu-ch03-activity-05-minkowski-cases,assigned_locale_neutral,source/sec_euclid_rn.ptx,198,activity[3],checks
o003-c90-ch03-checkpoint-06,activity_checkpoint,6,o003-gvsu-ch03-activity-06-euclidean-triangle,assigned_locale_neutral,source/sec_euclid_rn.ptx,250,activity[4],checks
o003-c90-ch03-exercise-01,exercise_guide,1,ex_MS_discrete,upstream,source/sec_metric_space_exer.ptx,3,"exercise[@xml:id='ex_MS_discrete']",guides
o003-c90-ch03-exercise-02,exercise_guide,2,ex_MS_mod_metric,upstream,source/sec_metric_space_exer.ptx,18,"exercise[@xml:id='ex_MS_mod_metric']",guides
o003-c90-ch03-exercise-03,exercise_guide,3,ex_MS_Q_metric,upstream,source/sec_metric_space_exer.ptx,77,"exercise[@xml:id='ex_MS_Q_metric']",guides
o003-c90-ch03-exercise-04,exercise_guide,4,o003-gvsu-ch03-exercise-04-rational-betweenness,assigned_locale_neutral,source/sec_metric_space_exer.ptx,122,exercise[4],guides
o003-c90-ch03-exercise-05,exercise_guide,5,ex_Taxicab,upstream,source/sec_metric_space_exer.ptx,160,"exercise[@xml:id='ex_Taxicab']",guides
o003-c90-ch03-exercise-06,exercise_guide,6,ex_Max,upstream,source/sec_metric_space_exer.ptx,168,"exercise[@xml:id='ex_Max']",guides
o003-c90-ch03-exercise-07,exercise_guide,7,ex_MS_hub,upstream,source/sec_metric_space_exer.ptx,192,"exercise[@xml:id='ex_MS_hub']",guides
o003-c90-ch03-exercise-08,exercise_guide,8,o003-gvsu-ch03-exercise-08-p-adic-integers,assigned_locale_neutral,source/sec_metric_space_exer.ptx,244,exercise[8],guides
o003-c90-ch03-exercise-09,exercise_guide,9,o003-gvsu-ch03-exercise-09-product-metric,assigned_locale_neutral,source/sec_metric_space_exer.ptx,307,exercise[9],guides
o003-c90-ch03-exercise-10,exercise_guide,10,o003-gvsu-ch03-exercise-10-logarithmic-metric,assigned_locale_neutral,source/sec_metric_space_exer.ptx,359,exercise[10],guides
o003-c90-ch03-exercise-11,exercise_guide,11,ex_1_over_1_plus_t_metric,upstream,source/sec_metric_space_exer.ptx,373,"exercise[@xml:id='ex_1_over_1_plus_t_metric']",guides
o003-c90-ch03-exercise-12,exercise_guide,12,o003-gvsu-ch03-exercise-12-scaled-metric,assigned_locale_neutral,source/sec_metric_space_exer.ptx,387,exercise[12],guides
o003-c90-ch03-exercise-13,exercise_guide,13,o003-gvsu-ch03-exercise-13-concave-transform,assigned_locale_neutral,source/sec_metric_space_exer.ptx,401,exercise[13],guides
o003-c90-ch03-exercise-14,exercise_guide,14,o003-gvsu-ch03-exercise-14-true-false,assigned_locale_neutral,source/sec_metric_space_exer.ptx,464,exercise[14],guides
o003-c90-ch03-mastery-01,mastery_check,1,o003-c90-ch03-mastery-01,original_companion,repo/companion/chapter_03_metric_spaces_self_study.ptx,,"exercise[@xml:id='o003-c90-ch03-mastery-01']",contains
o003-c90-ch03-mastery-02,mastery_check,2,o003-c90-ch03-mastery-02,original_companion,repo/companion/chapter_03_metric_spaces_self_study.ptx,,"exercise[@xml:id='o003-c90-ch03-mastery-02']",contains
o003-c90-ch03-mastery-03,mastery_check,3,o003-c90-ch03-mastery-03,original_companion,repo/companion/chapter_03_metric_spaces_self_study.ptx,,"exercise[@xml:id='o003-c90-ch03-mastery-03']",contains
o003-c90-ch03-mastery-04,mastery_check,4,o003-c90-ch03-mastery-04,original_companion,repo/companion/chapter_03_metric_spaces_self_study.ptx,,"exercise[@xml:id='o003-c90-ch03-mastery-04']",contains
o003-c90-ch03-mastery-05,mastery_check,5,o003-c90-ch03-mastery-05,original_companion,repo/companion/chapter_03_metric_spaces_self_study.ptx,,"exercise[@xml:id='o003-c90-ch03-mastery-05']",contains
o003-c90-ch03-mastery-06,mastery_check,6,o003-c90-ch03-mastery-06,original_companion,repo/companion/chapter_03_metric_spaces_self_study.ptx,,"exercise[@xml:id='o003-c90-ch03-mastery-06']",contains
o003-c90-ch03-mastery-07,mastery_check,7,o003-c90-ch03-mastery-07,original_companion,repo/companion/chapter_03_metric_spaces_self_study.ptx,,"exercise[@xml:id='o003-c90-ch03-mastery-07']",contains
o003-c90-ch03-mastery-08,mastery_check,8,o003-c90-ch03-mastery-08,original_companion,repo/companion/chapter_03_metric_spaces_self_study.ptx,,"exercise[@xml:id='o003-c90-ch03-mastery-08']",contains
