sequence,entry_id,source_anchor,source_anchor_kind,authority_source_file,authority_line,prompt_carrier,authority_locator,parent_group_anchor,support_status
1,o003-c90-ch19-guide-01,o003-gvsu-ch19-sec_path_intro-task-01,synthetic_locale_neutral_alias,source/sec_path_intro.ptx,50,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_path_intro.ptx"",""authority_line"":50,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_path_intro"",""xpath"":""/section/exploration/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""397e248d90c7b4ac5d2938d8380351b2773bdcbaa7c1a7487e36597f4af9f672""}",,covered
2,o003-c90-ch19-guide-02,o003-gvsu-ch19-sec_path_intro-task-02,synthetic_locale_neutral_alias,source/sec_path_intro.ptx,58,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_path_intro.ptx"",""authority_line"":58,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_path_intro"",""xpath"":""/section/exploration/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""cd680344e8d174c77552f931232b31b6e219659fed62a1c01fd038c5a45c9ca5""}",,covered
3,o003-c90-ch19-guide-03,o003-gvsu-ch19-sec_path_intro-task-03,synthetic_locale_neutral_alias,source/sec_path_intro.ptx,66,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_path_intro.ptx"",""authority_line"":66,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_path_intro"",""xpath"":""/section/exploration/task[3]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""3d64cdf6bc342c5d5a0e4fb6670e6e2b6830a54982c3964fef5c822e9bd42283""}",,covered
4,o003-c90-ch19-guide-04,o003-gvsu-ch19-sec_path_connect-task-01,synthetic_locale_neutral_alias,source/sec_path_connect.ptx,33,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_path_connect.ptx"",""authority_line"":33,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_path_connect"",""xpath"":""/section/activity/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""d0a5362c2413bcf334c4d2f6ea31d4658a1a0b28479d4ed2b9f1009ef0a5cc46""}",,covered
5,o003-c90-ch19-guide-05,o003-gvsu-ch19-sec_path_connect-task-02,synthetic_locale_neutral_alias,source/sec_path_connect.ptx,41,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_path_connect.ptx"",""authority_line"":41,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_path_connect"",""xpath"":""/section/activity/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""2199b97a887fca2b24603968988a206f22867a9c77e668a3d893fc63843c189e""}",,covered
6,o003-c90-ch19-guide-06,o003-gvsu-ch19-sec_path_connect_equiv-body-01,synthetic_locale_neutral_alias,source/sec_path_connect_equiv.ptx,87,direct_body,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_path_connect_equiv.ptx"",""authority_line"":87,""element_tag"":""activity"",""nearest_ancestor_or_self_xml_id"":""sec_path_connect_equiv"",""xpath"":""/section/activity[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""f7e372771e3d413200ece394e7f53f8229dde0db425400e47766dfd3890fdaf1""}",,covered
7,o003-c90-ch19-guide-07,o003-gvsu-ch19-sec_path_connect_equiv-task-01,synthetic_locale_neutral_alias,source/sec_path_connect_equiv.ptx,121,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_path_connect_equiv.ptx"",""authority_line"":121,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_path_connect_equiv"",""xpath"":""/section/activity[2]/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""5172e6d75d31fcaca61b24b6c363377760bc6043a71e4a2fba2a4c757586e282""}",,covered
8,o003-c90-ch19-guide-08,o003-gvsu-ch19-sec_path_connect_equiv-task-02,synthetic_locale_neutral_alias,source/sec_path_connect_equiv.ptx,128,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_path_connect_equiv.ptx"",""authority_line"":128,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_path_connect_equiv"",""xpath"":""/section/activity[2]/task[2]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""03f929f40546b99555fb2019dfa4fdcfba79c39f3ac3740da46344268966f649""}",,covered
9,o003-c90-ch19-guide-09,o003-gvsu-ch19-sec_path_connect_equiv-task-03,synthetic_locale_neutral_alias,source/sec_path_connect_equiv.ptx,135,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_path_connect_equiv.ptx"",""authority_line"":135,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""sec_path_connect_equiv"",""xpath"":""/section/activity[2]/task[3]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""00736e3ef034e21ec35ecb94e51c3374f0fff2f94ae4c3b8e2869893938f238f""}",,covered
10,o003-c90-ch19-guide-10,o003-gvsu-ch19-act_minimal_nbhds-task-01,synthetic_locale_neutral_alias,source/sec_connect_finite.ptx,19,atomic_task,"{""authority_commit"":""0c2d8f614ef87aa00de373f3418146c2f1d13bb9"",""authority_source_file"":""source/sec_connect_finite.ptx"",""authority_line"":19,""element_tag"":""task"",""nearest_ancestor_or_self_xml_id"":""act_minimal_nbhds"",""xpath"":""/section/activity[1]/task[1]"",""subtree_hash_contract"":""sha256-c14n-1.0-with-comments"",""subtree_sha256"":""c7e616b38f274a3ec07dd4ba890f1dedc44a0d3078c41afddfe235a172e3263f""}",,covered
